"ID;""En matière d'Internet"," vous vous considérez comme un utilisateur…"";""Quel(s) type(s) de sites visitez-vous couramment ?"";""Considérez-vous que cette adresse soit votre adresse email principale ?"";""A quelle fréquence consultez-vous votre boîte email ?"";""D’une manière générale", combien d’emails publicitaires, newsletters, alerting, ou autres," recevez-vous à cette adresse ?"";""Quelle image avez-vous de projet-one ?"";""A quelle fréquence profitez-vous des offres via le site project-one ?"";""Vous diriez que vous ouvrez les communications email de projet-one :"";""Comment jugez-vous l’impact des communications email sur l’image que vous avez de Projet-one ?"";""Les communications email de Projet-one vous incitent-elles à aller sur le site :"";""Quelles sont les raisons principales qui vous ont incité à recevoir les communications email de Projet-one ?"";""De manière générale"," quel est votre niveau de satisfaction concernant les communications email de Projet-one ?"";""Que pensez-vous de la longueur des communications email de Porjet-one ?"";""Par rapport à aujourd’hui"," vous souhaiteriez recevoir des communications email de Projet-one…"";""Avez-vous rencontré récemment un ou plusieurs des obstacles suivants vis-à-vis des communications email de Projet-one ?"";""Pensez-vous continuer à consulter les communications email de Projet-one à l’avenir ?"";""Vous êtes ?"";""Vous vivez…"";""Vous habitez…"";""Quel âge avez-vous ?"";""Quelle est votre profession ?""",,
3971;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par semaine;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;>65;Retraité,,,,,,
3969;Confirmé(e);Presse, Actualité|Santé, médicale;Non, c’est une adresse secondaire;Une fois par semaine;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;6;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);45-54;Employé,,,,,,
42;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Assez bonne;Jamais;Rarement;Ne sait pas;Moins souvent;Suivre  l'actualité d'un forum, d'un blog,…;6;De la bonne longueur;A la même fréquence;Le manque de temps;Oui, sûrement;Homme;Province;Seul(e) sans enfant;55-64;Retraité,,,
50;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Plus d’une fois par semaine;Je ne les reçois pas;Peu important;Aussi souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…|Avoir accès aux conseils d’un expert;6;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Paris ou région parisienne;En couple sans enfant;18-24;Employé,,,,
54;Initié(e);Documents de référence (dictionnaire, archive…)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Régulièrement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Recevoir des adresses près de chez moi, des idées de sorties;5;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Non, sans doute pas;Femme;Paris ou région parisienne;Seul(e) sans enfant;55-64;Retraité,,,,
56;Confirmé(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Régulièrement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Paris ou région parisienne;En couple avec enfant(s);45-54;Cadre, cadre supérieur,,,,,
60;Initié(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Plus d’une fois par semaine;Systématiquement;Très important;Moins souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Recevoir des petites annonces;10;De la bonne longueur;Beaucoup plus fréquemment;Le manque de temps;Oui, sûrement;Femme;Paris ou région parisienne;Seul(e) avec enfant(s);45-54;Employé,,,,,
66;Initié(e);Documents de référence (dictionnaire, archive…)|Jeux, Loisirs|Presse, Actualité;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Régulièrement;Peu important;Plus souvent;Bénéficier d'offres promotionnelles|Simplement par curiosité|Avoir accès aux conseils d’un expert;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,
67;Expert(e);Informatique|Jeux, Loisirs|Réseaux sociaux|Sport;Non, c’est une adresse secondaire;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Systématiquement;Très important;Aussi souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques|Suivre  l'actualité d'un forum, d'un blog,…;10;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Homme;Province;Seul(e) sans enfant;25-34;Sans activité professionnelle,,,,,
68;Initié(e);Site marchand (e-commerce)|Jeux, Loisirs|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Assez important;Plus souvent;Recevoir des actualités|Etre informé sur les produits/marques|Simplement par curiosité;8;De la bonne longueur;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;25-34;Employé,,,,,,,
